Calth2p4.representatives.faa,911321,DNA
Malci1p7.accepted.faa,5041,DNA
Corth2p4.representatives.faa,225584,DNA
Corse1p7.accepted.faa,190048,DNA
Myrth2p4.representatives.faa,455373,DNA
Psehe2p4.representatives.faa,86028,DNA
Paeby1p7.accepted.faa,89139,DNA
Rhipu1p4.representatives.faa,4840,DNA
Scyth2p4.representatives.faa,85995,DNA
Theau2p4.representatives.faa,5088,DNA
Talth1p4.representatives.faa,28565,DNA
Thiau2p7.accepted.faa,113626,DNA
predicted_proteins.fasta,262981,DNA
run_2.all.maker.proteins.renamed.fasta,4808,DNA
Port.aa,1165456,DNA
Smik.aa,114525,DNA
Spar.aa,27291,DNA
